sample_name,species,AMC (disk),AMK (disk),AMK (mic),AMK (vitek),AMP (vitek),AMX (disk),AMX (vitek),ATM (disk),ATM (vitek),CAZ (disk),CAZ (mic),CAZ (vitek),CHL (vitek),CIP (disk),CIP (vitek),COL (mic),CRO (mic),CRO (vitek),CTX (disk),CTX (mic),CTX (vitek),CXM (vitek),CZA (disk),CZA (vitek),CZT (disk),CZT (vitek),ETP (disk),ETP (mic),ETP (vitek),FEP (disk),FEP (mic),FEP (vitek),FOS (disk),FOX (disk),FOX (vitek),GEN (disk),GEN (mic),GEN (vitek),IPM (disk),IPM (mic),IPM (vitek),LVX (disk),LVX (vitek),MEC (disk),MEM (disk),MEM (mic),MEM (vitek),NAL (vitek),NET (disk),OFX (vitek),PIP (vitek),PRL (disk),SXT (disk),SXT (vitek),TCC (disk),TCC (vitek),TGC (disk),TGC (vitek),TIC (disk),TIC (vitek),TOB (disk),TOB (vitek),TZP (disk),TZP (mic),TZP (vitek),AMC (disk) cat,AMK (disk) cat,AMK (mic) cat,AMK (vitek) cat,AMP (vitek) cat,AMX (disk) cat,AMX (vitek) cat,ATM (disk) cat,ATM (vitek) cat,CAZ (disk) cat,CAZ (mic) cat,CAZ (vitek) cat,CHL (vitek) cat,CIP (disk) cat,CIP (vitek) cat,COL (mic) cat,CRO (mic) cat,CRO (vitek) cat,CTX (disk) cat,CTX (mic) cat,CTX (vitek) cat,CXM (vitek) cat,CZA (disk) cat,CZA (vitek) cat,CZT (disk) cat,CZT (vitek) cat,ETP (disk) cat,ETP (mic) cat,ETP (vitek) cat,FEP (disk) cat,FEP (mic) cat,FEP (vitek) cat,FOS (disk) cat,FOX (disk) cat,FOX (vitek) cat,GEN (disk) cat,GEN (mic) cat,GEN (vitek) cat,IPM (disk) cat,IPM (mic) cat,IPM (vitek) cat,LVX (disk) cat,LVX (vitek) cat,MEC (disk) cat,MEM (disk) cat,MEM (mic) cat,MEM (vitek) cat,NAL (vitek) cat,NET (disk) cat,OFX (vitek) cat,PIP (vitek) cat,PRL (disk) cat,SXT (disk) cat,SXT (vitek) cat,TCC (disk) cat,TCC (vitek) cat,TGC (disk) cat,TGC (vitek) cat,TIC (disk) cat,TIC (vitek) cat,TOB (disk) cat,TOB (vitek) cat,TZP (disk) cat,TZP (mic) cat,TZP (vitek) cat
KLEPNE157,Klebsiella pneumoniae,,,4.0,8.0,16.0,,,,32.0,,32.0,32.0,4.0,,16.0,0.5,16.0,32.0,,16.0,32.0,32.0,,1.0,,16.0,,8.0,,,8.0,16.0,,,32.0,,0.5,8.0,,16.0,0.5,,160.0,,,8.0,1.0,,,,64.0,,,,,64.0,,2.0,,64.0,,8.0,,64.0,64.0,NA,NA,S,R,R,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,S,R,NA,R,S,NA,R,NA,NA,R,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,R,R
COLI43,Escherichia coli,6.0,25.0,2.0,,,6.0,,36.0,1.0,29.0,0.25,1.0,8.0,42.0,,0.5,0.5,1.0,21.0,1.0,1.0,16.0,32.0,0.12,28.0,0.5,24.0,1.0,,32.0,0.25,0.25,28.0,21.0,,24.0,0.5,1.0,22.0,2.0,2.0,35.0,0.12,30.0,27.0,0.5,2.0,,24.0,,64.0,6.0,34.0,,6.0,64.0,28.0,0.5,6.0,,23.0,,6.0,64.0,,R,S,S,NA,NA,R,NA,S,S,S,S,S,S,S,NA,S,S,S,S,S,S,R,S,S,S,S,S,R,NA,S,S,S,S,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,NA,S,NA,R,R,S,NA,R,R,S,R,R,NA,S,NA,R,R,NA
COLI44,Escherichia coli,6.0,28.0,1.0,2.0,16.0,6.0,16.0,40.0,1.0,31.0,0.5,1.0,4.0,44.0,0.25,1.0,0.5,1.0,19.0,2.0,2.0,16.0,33.0,0.12,30.0,0.5,24.0,1.0,2.0,34.0,0.5,0.5,31.0,19.0,8.0,27.0,0.5,1.0,25.0,2.0,2.0,35.0,0.12,30.0,30.0,0.5,2.0,2.0,26.0,0.25,64.0,6.0,34.0,20.0,6.0,64.0,28.0,0.5,6.0,64.0,25.0,1.0,6.0,64.0,64.0,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S,S,S,S,U,R,R,R,S,S,S,S,S,R,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,R,R,R,S,R,R,R,S,S,R,R,R
COLI45,Escherichia coli,6.0,25.0,2.0,2.0,16.0,6.0,16.0,14.0,16.0,14.0,32.0,4.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,34.0,0.25,24.0,4.0,25.0,1.0,0.5,17.0,8.0,16.0,30.0,21.0,4.0,6.0,16.0,8.0,28.0,0.5,2.0,6.0,4.0,24.0,32.0,0.25,0.5,16.0,13.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,28.0,0.5,6.0,64.0,13.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,S,S,R,S,R,R,R,R,R,S,S,S,R,R,R,S,S,S,R,R,S,S,S,S,R,U,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R
KLEAER14,Klebsiella aerogenes,,,1.0,,,,,,,,32.0,32.0,32.0,,0.25,0.5,16.0,32.0,,16.0,32.0,,,2.0,,16.0,,8.0,,,4.0,16.0,,,,,0.5,1.0,,8.0,8.0,,,,,4.0,,16.0,,1.0,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,S,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,NA,NA,S,S,NA,R,R,NA,NA,NA,NA,U,NA,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
COLI47,Escherichia coli,6.0,31.0,1.0,2.0,16.0,6.0,16.0,43.0,1.0,31.0,0.5,1.0,16.0,35.0,0.25,0.5,0.5,8.0,26.0,1.0,1.0,16.0,35.0,0.25,34.0,1.0,23.0,1.0,4.0,35.0,0.25,0.25,33.0,24.0,8.0,28.0,0.5,1.0,30.0,2.0,4.0,35.0,0.12,35.0,34.0,0.5,4.0,2.0,27.0,0.25,64.0,6.0,35.0,20.0,6.0,64.0,30.0,0.5,6.0,64.0,28.0,1.0,6.0,64.0,64.0,R,S,S,S,R,R,R,S,S,S,S,S,R,S,S,S,S,R,S,S,S,R,S,S,S,S,R,R,R,S,S,S,S,S,R,S,S,S,S,S,R,S,S,S,S,S,U,S,S,S,R,R,S,R,R,R,S,R,R,R,S,S,R,R,R
PRTTER3,Proteus terrae terrae,,,4.0,4.0,16.0,,,,1.0,,0.06,1.0,0.12,,2.0,8.0,0.25,2.0,,0.25,4.0,,,0.12,,0.25,,0.06,0.5,,0.25,1.0,,,4.0,,2.0,1.0,,2.0,0.5,,20.0,,,0.12,0.25,,,,64.0,,,,,8.0,,0.25,,32.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,R,NA,S,R,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,R,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
KLEAER15,Klebsiella aerogenes,,,2.0,,,,,,,,32.0,32.0,,,0.25,0.5,16.0,32.0,,16.0,32.0,,,0.25,,8.0,,8.0,,,8.0,2.0,,,,,0.5,1.0,,16.0,2.0,,,,,8.0,2.0,16.0,,,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,NA,NA,S,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,NA,NA,R,U,NA,NA,NA,NA,S,S,NA,R,S,NA,NA,NA,NA,R,S,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
KLEPNE158,Klebsiella pneumoniae,,,0.5,2.0,16.0,,,,1.0,,32.0,4.0,1.0,,,0.5,2.0,1.0,,4.0,1.0,32.0,,2.0,,1.0,,8.0,0.5,,32.0,8.0,,,32.0,,0.12,1.0,,4.0,0.5,,20.0,,,8.0,1.0,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,NA,S,R,S,NA,R,S,R,NA,S,NA,S,NA,R,R,NA,R,R,NA,NA,R,NA,S,S,NA,R,S,NA,R,NA,NA,R,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
KLEPNE159,Klebsiella pneumoniae,,,64.0,32.0,16.0,,,,32.0,,32.0,32.0,4.0,,16.0,4.0,16.0,32.0,,16.0,32.0,32.0,,8.0,,16.0,,8.0,4.0,,32.0,16.0,,,32.0,,16.0,8.0,,16.0,8.0,,160.0,,,32.0,,,,,64.0,,,,,64.0,,2.0,,64.0,,8.0,,64.0,64.0,NA,NA,R,R,R,NA,NA,NA,R,NA,R,R,S,NA,R,R,R,R,NA,R,R,R,NA,R,NA,R,NA,R,R,NA,R,R,NA,NA,R,NA,R,R,NA,R,R,NA,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,R,R
KLEPNE160,Klebsiella pneumoniae,,,4.0,2.0,16.0,,,,1.0,,32.0,4.0,0.12,,2.0,0.5,4.0,1.0,,4.0,1.0,16.0,,0.5,,1.0,,8.0,0.5,,32.0,8.0,,,32.0,,1.0,1.0,,2.0,0.25,,160.0,,,2.0,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,R,S,R,S,NA,R,S,R,NA,S,NA,S,NA,R,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
COLI48,Escherichia coli,6.0,27.0,2.0,2.0,16.0,6.0,16.0,37.0,1.0,30.0,0.25,1.0,4.0,39.0,0.25,0.5,0.5,1.0,20.0,1.0,1.0,16.0,32.0,0.25,29.0,1.0,19.0,2.0,4.0,33.0,0.25,0.5,30.0,23.0,4.0,25.0,0.5,1.0,22.0,2.0,2.0,35.0,0.12,30.0,27.0,1.0,4.0,2.0,25.0,0.25,64.0,6.0,35.0,20.0,6.0,64.0,28.0,0.5,6.0,64.0,24.0,1.0,6.0,64.0,64.0,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,R,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,U,S,S,S,R,R,S,R,R,R,S,R,R,R,S,S,R,R,R
KLEPNE161,Klebsiella pneumoniae,,,4.0,16.0,16.0,,,,2.0,,2.0,1.0,1.0,,,8.0,16.0,,,16.0,8.0,32.0,,0.12,,0.25,,0.06,0.5,,32.0,2.0,,,4.0,,0.5,1.0,,0.25,0.25,,160.0,,,0.06,0.25,,,,64.0,,,,,32.0,,,,64.0,,8.0,,4.0,4.0,NA,NA,S,R,R,NA,NA,NA,U,NA,U,S,S,NA,NA,R,R,NA,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,U,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,NA,S,S
KLEPNE106,Klebsiella pneumoniae,,,4.0,,16.0,,,,,,32.0,32.0,16.0,,2.0,0.5,16.0,32.0,,16.0,32.0,32.0,,1.0,,16.0,,8.0,,,32.0,16.0,,,32.0,,16.0,8.0,,0.5,0.5,,,,,2.0,1.0,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,R,R,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
KLEPNE181,Klebsiella pneumoniae,,,0.5,2.0,16.0,,,,1.0,,0.5,1.0,1.0,,,0.5,0.12,0.25,,0.12,1.0,4.0,,0.12,,0.25,,0.06,0.5,,0.12,0.12,,,4.0,,0.12,1.0,,0.12,0.25,,160.0,,,0.06,0.25,,,,64.0,,,,,16.0,,,,64.0,,1.0,,32.0,64.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,NA,S,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,NA,NA,R,NA,S,NA,R,R
CITFAR5,Citrobacter farmeri,,,0.5,2.0,,,,,1.0,,4.0,4.0,0.12,,4.0,0.5,0.5,,,1.0,1.0,,,4.0,,1.0,,0.06,0.5,,0.12,0.12,,,32.0,,0.25,1.0,,0.5,0.5,,20.0,,,0.06,0.25,,,,,,,,,64.0,,0.25,,64.0,,1.0,,4.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,R,R,S,NA,R,S,S,NA,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,S,S
PRVSTU5,Providencia stuartii,,,1.0,2.0,16.0,,,,1.0,,16.0,4.0,0.12,,2.0,8.0,1.0,,,4.0,1.0,,,0.5,,1.0,,0.06,0.5,,0.12,0.12,,,4.0,,4.0,2.0,,1.0,0.5,,20.0,,,0.06,0.25,,,,8.0,,,,,8.0,,0.25,,8.0,,4.0,,16.0,,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,R,R,S,NA,NA,R,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,R,R,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,S,NA,R,NA,R,NA
KLEOXY40,Klebsiella oxytoca,,,0.25,2.0,16.0,,,,,,2.0,4.0,0.12,,2.0,0.5,16.0,,,4.0,1.0,32.0,,0.5,,8.0,,0.25,0.5,,8.0,2.0,,,8.0,,0.12,1.0,,1.0,0.5,,20.0,,,0.12,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,NA,NA,U,R,S,NA,R,S,R,NA,NA,R,S,R,NA,S,NA,R,NA,S,R,NA,R,U,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
KLEAER22,Klebsiella aerogenes,,,2.0,2.0,,,,,32.0,,32.0,32.0,0.12,,2.0,0.5,16.0,32.0,,16.0,32.0,,,2.0,,8.0,,8.0,,,4.0,8.0,,,32.0,,0.5,1.0,,16.0,2.0,,20.0,,,8.0,,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,NA,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,S,S,NA,R,S,NA,R,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
COLI49,Escherichia coli,6.0,25.0,1.0,2.0,16.0,6.0,16.0,26.0,4.0,11.0,32.0,8.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,24.0,2.0,16.0,8.0,13.0,8.0,4.0,21.0,4.0,8.0,28.0,6.0,32.0,23.0,0.5,1.0,27.0,0.5,4.0,6.0,4.0,30.0,26.0,1.0,2.0,16.0,23.0,4.0,64.0,6.0,25.0,20.0,6.0,64.0,28.0,0.5,6.0,64.0,25.0,1.0,6.0,64.0,64.0,R,S,S,S,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,S,R,R,R,R,R,R,R,R,S,R,R,S,S,S,S,S,R,R,R,S,S,S,S,R,S,R,R,R,S,R,R,R,S,R,R,R,S,S,R,R,R
ENTHOR85,Enterobacter hormaechei xiangfangensis,,,4.0,,,,,,,,32.0,32.0,32.0,,2.0,0.5,16.0,32.0,,16.0,32.0,,,0.5,,1.0,,0.25,0.5,,32.0,16.0,,,,,16.0,8.0,,0.25,0.25,,,,,0.06,0.25,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,32.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,NA,NA,R,R,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
HAFALV14,Hafnia alvei,,,4.0,4.0,16.0,,,,32.0,,32.0,32.0,0.12,,8.0,8.0,16.0,32.0,,16.0,32.0,,,8.0,,16.0,,0.5,,,16.0,16.0,,,32.0,,0.5,1.0,,0.5,0.5,,20.0,,,0.12,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,R,R,R,NA,R,R,NA,NA,R,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
COLI50,Escherichia coli,6.0,26.0,2.0,2.0,16.0,6.0,16.0,42.0,1.0,33.0,0.25,1.0,8.0,41.0,0.25,0.5,0.5,0.5,26.0,0.5,1.0,4.0,35.0,0.12,32.0,0.25,26.0,0.5,0.5,35.0,0.12,0.12,32.0,26.0,4.0,24.0,0.5,1.0,28.0,1.0,2.0,35.0,0.12,33.0,33.0,0.25,2.0,2.0,25.0,0.25,64.0,6.0,33.0,20.0,6.0,64.0,29.0,0.5,6.0,64.0,25.0,1.0,6.0,64.0,64.0,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,U,S,S,S,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,R,S,R,R,R,S,R,R,R,S,S,R,R,R
MORMOG30,Morganella morganii morganii,,,2.0,2.0,16.0,,,,1.0,,8.0,4.0,1.0,,16.0,0.5,1.0,2.0,,8.0,8.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,4.0,,0.5,1.0,,1.0,0.5,,20.0,,,0.06,0.25,,,,64.0,,,,,8.0,,0.25,,,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,R,S,S,R,NA,R,R,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,NA,NA,S,NA,S,S
MORMOG31,Morganella morganii morganii,,,2.0,2.0,16.0,,,,1.0,,16.0,16.0,0.12,,2.0,8.0,2.0,2.0,,8.0,16.0,,,0.12,,0.5,,0.06,0.5,,0.06,0.12,,,8.0,,1.0,1.0,,1.0,1.0,,20.0,,,0.06,0.25,,,,64.0,,,,,,,0.25,,,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,R,R,R,R,NA,R,R,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,S,NA,S,S
MORMOG15,Morganella morganii morganii,,,2.0,,16.0,,,,,,16.0,32.0,4.0,,0.25,8.0,2.0,32.0,,8.0,32.0,,,0.12,,0.25,,0.06,0.5,,0.06,2.0,,,,,0.5,1.0,,4.0,2.0,,,,,0.12,,2.0,,0.25,,,,,,,,,,,,,,1.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,S,R,R,R,NA,R,R,NA,NA,S,NA,S,NA,S,R,NA,S,U,NA,NA,NA,NA,S,S,NA,R,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S
MORMOG32,Morganella morganii morganii,,,1.0,2.0,16.0,,,,32.0,,16.0,32.0,0.12,,2.0,8.0,2.0,16.0,,8.0,32.0,,,2.0,,0.5,,0.06,0.5,,0.06,4.0,,,16.0,,0.25,1.0,,4.0,2.0,,20.0,,,0.12,0.5,,,,64.0,,,,,,,0.25,,,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,R,R,R,NA,R,R,NA,NA,S,NA,S,NA,S,R,NA,S,R,NA,NA,R,NA,S,S,NA,R,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,S,NA,S,S
KLEPNE162,Klebsiella pneumoniae,,,2.0,2.0,16.0,,,,32.0,,32.0,32.0,0.25,,16.0,8.0,16.0,32.0,,16.0,32.0,32.0,,0.5,,1.0,,0.12,0.5,,16.0,16.0,,,8.0,,0.25,1.0,,0.25,0.25,,20.0,,,0.06,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,8.0,,32.0,64.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,R,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,R,NA,R,R
ENTCLO107,Enterobacter cloacae cloacae,,,2.0,4.0,,,,,2.0,,32.0,32.0,1.0,,,0.5,16.0,8.0,,16.0,16.0,,,4.0,,16.0,,8.0,4.0,,2.0,0.12,,,32.0,,0.5,1.0,,4.0,1.0,,20.0,,,4.0,4.0,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,NA,NA,NA,NA,U,NA,R,R,S,NA,NA,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,R,NA,U,S,NA,NA,R,NA,S,S,NA,R,S,NA,R,NA,NA,U,U,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
PRTVUL3,Proteus vulgaris,,,1.0,2.0,16.0,,,,1.0,,0.12,1.0,0.12,,2.0,2.0,0.06,0.25,,0.06,1.0,,,0.12,,0.5,,0.06,0.5,,0.12,0.12,,,8.0,,0.25,1.0,,4.0,8.0,,20.0,,,0.12,0.25,,,,4.0,,,,,8.0,,0.25,,16.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,R,R,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
KLEAER16,Klebsiella aerogenes,,,1.0,,,,,,,,32.0,32.0,4.0,,0.25,0.5,16.0,32.0,,16.0,32.0,,,0.25,,8.0,,4.0,,,4.0,4.0,,,,,0.5,1.0,,8.0,2.0,,,,,4.0,2.0,2.0,,0.25,64.0,,,,,64.0,,,,64.0,,,,64.0,64.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,R,R,S,NA,S,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,NA,NA,S,S,NA,R,S,NA,NA,NA,NA,U,S,S,NA,S,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
KLEPNE163,Klebsiella pneumoniae,,,1.0,2.0,16.0,,,,32.0,,32.0,32.0,4.0,,16.0,1.0,16.0,32.0,,16.0,32.0,32.0,,0.12,,1.0,,1.0,0.5,,4.0,0.12,,,8.0,,16.0,8.0,,0.25,0.25,,160.0,,,0.12,0.25,,,,64.0,,,,,64.0,,2.0,,64.0,,8.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,S,NA,R,R,NA,R,S,NA,NA,R,NA,R,R,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,R,R
RAOORN11,Raoultella ornithinolytica,,,0.5,2.0,16.0,,,,1.0,,4.0,1.0,0.12,,2.0,0.5,0.25,0.25,,0.25,1.0,16.0,,0.25,,0.5,,0.2,0.5,,2.0,0.12,,,8.0,,0.25,1.0,,1.0,0.25,,20.0,,,0.12,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,S,S,NA,R,S,S,S,NA,S,S,R,NA,S,NA,S,NA,S,R,NA,U,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
ENTHOR57,Enterobacter hormaechei steigerwaltii,,,0.5,2.0,,,,,1.0,,1.0,1.0,0.12,,2.0,0.5,1.0,1.0,,1.0,1.0,,,2.0,,1.0,,0.12,0.5,,0.5,0.5,,,32.0,,0.12,1.0,,2.0,2.0,,20.0,,,0.12,0.25,,,,8.0,,,,,8.0,,0.25,,8.0,,1.0,,4.0,16.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,R
KLEPNE81,Klebsiella pneumoniae,,,4.0,,16.0,,,,,,32.0,16.0,8.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,0.5,,16.0,,0.5,,,4.0,16.0,,,32.0,,2.0,8.0,,4.0,8.0,,,,,8.0,,16.0,,4.0,64.0,,,,,64.0,,,,64.0,,,,8.0,64.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,NA,NA,R,R,NA,NA,R,NA,R,R,NA,R,R,NA,NA,NA,NA,R,NA,R,NA,R,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,R
KLEAER23,Klebsiella aerogenes,,,2.0,2.0,,,,,16.0,,32.0,32.0,0.12,,2.0,0.25,16.0,32.0,,16.0,8.0,,,0.25,,4.0,,2.0,0.5,,32.0,0.12,,,32.0,,0.5,1.0,,1.0,0.25,,20.0,,,1.0,0.25,,,,64.0,,,,,64.0,,0.25,,32.0,,1.0,,64.0,64.0,NA,NA,S,S,NA,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,R,NA,R,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
